Sigla;Código;Município;Renda - rendimentos do trabalho (2000)
AC;1200013;Acrelândia;65077
AC;1200054;Assis Brasil;65378
AC;1200104;Brasiléia;66908
AC;1200138;Bujari;58298
AC;1200179;Capixaba;7253
AC;1200203;Cruzeiro do Sul;66281
AC;1200252;Epitaciolândia;77996
AC;1200302;Feijó;48
AC;1200328;Jordão;37675
AC;1200336;Mâncio Lima;52925
AC;1200344;Manoel Urbano;58119
AC;1200351;Marechal Thaumaturgo;39843
AC;1200385;Plácido de Castro;68669
AC;1200393;Porto Walter;64139
AC;1200401;Rio Branco;72893
AC;1200427;Rodrigues Alves;54557
AC;1200435;Santa Rosa do Purus;45851
AC;1200450;Senador Guiomard;69587
AC;1200500;Sena Madureira;70861
AC;1200609;Tarauacá;51781
AC;1200708;Xapuri;72899
AC;1200807;Porto Acre;5693
AL;2700102;Água Branca;4357
AL;2700201;Anadia;57847
AL;2700300;Arapiraca;64832
AL;2700409;Atalaia;59353
AL;2700508;Barra de Santo Antônio;59932
AL;2700607;Barra de São Miguel;68913
AL;2700706;Batalha;71251
AL;2700805;Belém;46318
AL;2700904;Belo Monte;58458
AL;2701001;Boca da Mata;65599
AL;2701100;Branquinha;51967
AL;2701209;Cacimbinhas;45948
AL;2701308;Cajueiro;59119
AL;2701357;Campestre;57601
AL;2701407;Campo Alegre;66702
AL;2701506;Campo Grande;36113
AL;2701605;Canapi;33877
AL;2701704;Capela;66791
AL;2701803;Carneiros;52602
AL;2701902;Chã Preta;60621
AL;2702009;Coité do Nóia;59705
AL;2702108;Colônia Leopoldina;63536
AL;2702207;Coqueiro Seco;56435
AL;2702306;Coruripe;62382
AL;2702355;Craíbas;49946
AL;2702405;Delmiro Gouveia;57495
AL;2702504;Dois Riachos;52566
AL;2702553;Estrela de Alagoas;46117
AL;2702603;Feira Grande;57498
AL;2702702;Feliz Deserto;67827
AL;2702801;Flexeiras;67188
AL;2702900;Girau do Ponciano;46695
AL;2703007;Ibateguara;59897
AL;2703106;Igaci;39183
AL;2703205;Igreja Nova;38412
AL;2703304;Inhapi;29878
AL;2703403;Jacaré dos Homens;66331
AL;2703502;Jacuípe;49627
AL;2703601;Japaratinga;56307
AL;2703700;Jaramataia;70789
AL;2703759;Jequiá da Praia;NA
AL;2703809;Joaquim Gomes;62777
AL;2703908;Jundiá;56731
AL;2704005;Junqueiro;48822
AL;2704104;Lagoa da Canoa;69651
AL;2704203;Limoeiro de Anadia;54469
AL;2704302;Maceió;64603
AL;2704401;Major Isidoro;53134
AL;2704500;Maragogi;55457
AL;2704609;Maravilha;41324
AL;2704708;Marechal Deodoro;62445
AL;2704807;Maribondo;58614
AL;2704906;Mar Vermelho;45841
AL;2705002;Mata Grande;39952
AL;2705101;Matriz de Camaragibe;57397
AL;2705200;Messias;6489
AL;2705309;Minador do Negrão;51009
AL;2705408;Monteirópolis;54641
AL;2705507;Murici;62503
AL;2705606;Novo Lino;61241
AL;2705705;Olho d'Água das Flores;57645
AL;2705804;Olho d'Água do Casado;40729
AL;2705903;Olho d'Água Grande;34677
AL;2706000;Olivença;35079
AL;2706109;Ouro Branco;43417
AL;2706208;Palestina;52136
AL;2706307;Palmeira dos Índios;60429
AL;2706406;Pão de Açúcar;50464
AL;2706422;Pariconha;36317
AL;2706448;Paripueira;59587
AL;2706505;Passo de Camaragibe;57731
AL;2706604;Paulo Jacinto;43651
AL;2706703;Penedo;57317
AL;2706802;Piaçabuçu;63952
AL;2706901;Pilar;67254
AL;2707008;Pindoba;58998
AL;2707107;Piranhas;42949
AL;2707206;Poço das Trincheiras;34115
AL;2707305;Porto Calvo;53995
AL;2707404;Porto de Pedras;52102
AL;2707503;Porto Real do Colégio;34669
AL;2707602;Quebrangulo;50644
