"";"�..Sigla";"Código";"Munic�.pio";"Renda...rendimentos.do.trabalho..2000."
"1";"AC";1200013;"Acrelândia";65077
"2";"AC";1200054;"Assis Brasil";65378
"3";"AC";1200104;"Brasiléia";66908
"4";"AC";1200138;"Bujari";58298
"5";"AC";1200179;"Capixaba";7253
"6";"AC";1200203;"Cruzeiro do Sul";66281
"7";"AC";1200252;"Epitaciolândia";77996
"8";"AC";1200302;"Feijó";48
"9";"AC";1200328;"Jordão";37675
"10";"AC";1200336;"Mâncio Lima";52925
"11";"AC";1200344;"Manoel Urbano";58119
"12";"AC";1200351;"Marechal Thaumaturgo";39843
"13";"AC";1200385;"Plácido de Castro";68669
"14";"AC";1200393;"Porto Walter";64139
"15";"AC";1200401;"Rio Branco";72893
"16";"AC";1200427;"Rodrigues Alves";54557
"17";"AC";1200435;"Santa Rosa do Purus";45851
"18";"AC";1200450;"Senador Guiomard";69587
"19";"AC";1200500;"Sena Madureira";70861
"20";"AC";1200609;"Tarauacá";51781
"21";"AC";1200708;"Xapuri";72899
"22";"AC";1200807;"Porto Acre";5693
"23";"AL";2700102;"Água Branca";4357
"24";"AL";2700201;"Anadia";57847
"25";"AL";2700300;"Arapiraca";64832
"26";"AL";2700409;"Atalaia";59353
"27";"AL";2700508;"Barra de Santo Antônio";59932
"28";"AL";2700607;"Barra de São Miguel";68913
"29";"AL";2700706;"Batalha";71251
"30";"AL";2700805;"Belém";46318
"31";"AL";2700904;"Belo Monte";58458
"32";"AL";2701001;"Boca da Mata";65599
"33";"AL";2701100;"Branquinha";51967
"34";"AL";2701209;"Cacimbinhas";45948
"35";"AL";2701308;"Cajueiro";59119
"36";"AL";2701357;"Campestre";57601
"37";"AL";2701407;"Campo Alegre";66702
"38";"AL";2701506;"Campo Grande";36113
"39";"AL";2701605;"Canapi";33877
"40";"AL";2701704;"Capela";66791
"41";"AL";2701803;"Carneiros";52602
"42";"AL";2701902;"Chã Preta";60621
"43";"AL";2702009;"Coité do Nóia";59705
"44";"AL";2702108;"Colônia Leopoldina";63536
"45";"AL";2702207;"Coqueiro Seco";56435
"46";"AL";2702306;"Coruripe";62382
"47";"AL";2702355;"Craíbas";49946
"48";"AL";2702405;"Delmiro Gouveia";57495
"49";"AL";2702504;"Dois Riachos";52566
"50";"AL";2702553;"Estrela de Alagoas";46117
"51";"AL";2702603;"Feira Grande";57498
"52";"AL";2702702;"Feliz Deserto";67827
"53";"AL";2702801;"Flexeiras";67188
"54";"AL";2702900;"Girau do Ponciano";46695
"55";"AL";2703007;"Ibateguara";59897
"56";"AL";2703106;"Igaci";39183
"57";"AL";2703205;"Igreja Nova";38412
"58";"AL";2703304;"Inhapi";29878
"59";"AL";2703403;"Jacaré dos Homens";66331
"60";"AL";2703502;"Jacuípe";49627
"61";"AL";2703601;"Japaratinga";56307
"62";"AL";2703700;"Jaramataia";70789
"63";"AL";2703759;"Jequiá da Praia";NA
"64";"AL";2703809;"Joaquim Gomes";62777
"65";"AL";2703908;"Jundiá";56731
"66";"AL";2704005;"Junqueiro";48822
"67";"AL";2704104;"Lagoa da Canoa";69651
"68";"AL";2704203;"Limoeiro de Anadia";54469
"69";"AL";2704302;"Maceió";64603
"70";"AL";2704401;"Major Isidoro";53134
"71";"AL";2704500;"Maragogi";55457
"72";"AL";2704609;"Maravilha";41324
"73";"AL";2704708;"Marechal Deodoro";62445
"74";"AL";2704807;"Maribondo";58614
"75";"AL";2704906;"Mar Vermelho";45841
"76";"AL";2705002;"Mata Grande";39952
"77";"AL";2705101;"Matriz de Camaragibe";57397
"78";"AL";2705200;"Messias";6489
"79";"AL";2705309;"Minador do Negrão";51009
"80";"AL";2705408;"Monteirópolis";54641
"81";"AL";2705507;"Murici";62503
"82";"AL";2705606;"Novo Lino";61241
"83";"AL";2705705;"Olho d'Água das Flores";57645
"84";"AL";2705804;"Olho d'Água do Casado";40729
"85";"AL";2705903;"Olho d'Água Grande";34677
"86";"AL";2706000;"Olivença";35079
"87";"AL";2706109;"Ouro Branco";43417
"88";"AL";2706208;"Palestina";52136
"89";"AL";2706307;"Palmeira dos Índios";60429
"90";"AL";2706406;"Pão de Açúcar";50464
"91";"AL";2706422;"Pariconha";36317
"92";"AL";2706448;"Paripueira";59587
"93";"AL";2706505;"Passo de Camaragibe";57731
"94";"AL";2706604;"Paulo Jacinto";43651
"95";"AL";2706703;"Penedo";57317
"96";"AL";2706802;"Piaçabuçu";63952
"97";"AL";2706901;"Pilar";67254
"98";"AL";2707008;"Pindoba";58998
"99";"AL";2707107;"Piranhas";42949
"100";"AL";2707206;"Poço das Trincheiras";34115
"101";"AL";2707305;"Porto Calvo";53995
"102";"AL";2707404;"Porto de Pedras";52102
"103";"AL";2707503;"Porto Real do Colégio";34669
"104";"AL";2707602;"Quebrangulo";50644
"105";"AL";2707701;"Rio Largo";59129
"106";"AL";2707800;"Roteiro";61321
"107";"AL";2707909;"Santa Luzia do Norte";61468
"108";"AL";2708006;"Santana do Ipanema";54474
"109";"AL";2708105;"Santana do Mundaú";57902
"110";"AL";2708204;"São Brás";50873
"111";"AL";2708303;"São José da Laje";56281
"112";"AL";2708402;"São José da Tapera";30301
"113";"AL";2708501;"São Luís do Quitunde";59317
"114";"AL";2708600;"São Miguel dos Campos";6687
"115";"AL";2708709;"São Miguel dos Milagres";58222
"116";"AL";2708808;"São Sebastião";45437
"117";"AL";2708907;"Satuba";69239
"118";"AL";2708956;"Senador Rui Palmeira";31352
"119";"AL";2709004;"Tanque d'Arca";37581
"120";"AL";2709103;"Taquarana";42297
"121";"AL";2709152;"Teotônio Vilela";62739
"122";"AL";2709202;"Traipu";30048
"123";"AL";2709301;"União dos Palmares";62748
"124";"AL";2709400;"Viçosa";52812
"125";"AM";1300029;"Alvarães";65435
"126";"AM";1300060;"Amaturá";40211
"127";"AM";1300086;"Anamã";5624
"128";"AM";1300102;"Anori";62933
"129";"AM";1300144;"Apuí";44794
"130";"AM";1300201;"Atalaia do Norte";35636
"131";"AM";1300300;"Autazes";55322
"132";"AM";1300409;"Barcelos";40047
"133";"AM";1300508;"Barreirinha";44887
"134";"AM";1300607;"Benjamin Constant";47813
"135";"AM";1300631;"Beruri";52409
"136";"AM";1300680;"Boa Vista do Ramos";47686
"137";"AM";1300706;"Boca do Acre";62623
"138";"AM";1300805;"Borba";48097
"139";"AM";1300839;"Caapiranga";69152
"140";"AM";1300904;"Canutama";42079
"141";"AM";1301001;"Carauari";41159
"142";"AM";1301100;"Careiro";54394
"143";"AM";1301159;"Careiro da Várzea";64302
"144";"AM";1301209;"Coari";73086
"145";"AM";1301308;"Codajás";56288
"146";"AM";1301407;"Eirunepé";57078
"147";"AM";1301506;"Envira";29599
"148";"AM";1301605;"Fonte Boa";51478
"149";"AM";1301654;"Guajará";38991
"150";"AM";1301704;"Humaitá";61667
"151";"AM";1301803;"Ipixuna";51788
"152";"AM";1301852;"Iranduba";67554
"153";"AM";1301902;"Itacoatiara";67405
"154";"AM";1301951;"Itamarati";57485
"155";"AM";1302009;"Itapiranga";56171
"156";"AM";1302108;"Japurá";46923
"157";"AM";1302207;"Juruá";57572
"158";"AM";1302306;"Jutaí";36288
"159";"AM";1302405;"Lábrea";46115
"160";"AM";1302504;"Manacapuru";61671
"161";"AM";1302553;"Manaquiri";32567
"162";"AM";1302603;"Manaus";70268
"163";"AM";1302702;"Manicoré";55449
"164";"AM";1302801;"Maraã";45995
"165";"AM";1302900;"Maués";57618
"166";"AM";1303007;"Nhamundá";61127
"167";"AM";1303106;"Nova Olinda do Norte";44014
"168";"AM";1303205;"Novo Airão";55884
"169";"AM";1303304;"Novo Aripuanã";53576
"170";"AM";1303403;"Parintins";65331
"171";"AM";1303502;"Pauini";38123
"172";"AM";1303536;"Presidente Figueiredo";69448
"173";"AM";1303569;"Rio Preto da Eva";67977
"174";"AM";1303601;"Santa Isabel do Rio Negro";37444
"175";"AM";1303700;"Santo Antônio do Içá";36717
"176";"AM";1303809;"São Gabriel da Cachoeira";30528
"177";"AM";1303908;"São Paulo de Olivença";47547
"178";"AM";1303957;"São Sebastião do Uatumã";63955
"179";"AM";1304005;"Silves";59684
"180";"AM";1304062;"Tabatinga";55051
"181";"AM";1304104;"Tapauá";50063
"182";"AM";1304203;"Tefé";69797
"183";"AM";1304237;"Tonantins";66394
"184";"AM";1304260;"Uarini";49994
"185";"AM";1304302;"Urucará";63342
"186";"AM";1304401;"Urucurituba";44182
"187";"AP";1600055;"Serra do Navio";6482
"188";"AP";1600105;"Amapá";73366
"189";"AP";1600154;"Pedra Branca do Amaparí";49662
"190";"AP";1600204;"Calçoene";6524
"191";"AP";1600212;"Cutias";59391
"192";"AP";1600238;"Ferreira Gomes";64886
"193";"AP";1600253;"Itaubal";58735
"194";"AP";1600279;"Laranjal do Jari";71728
"195";"AP";1600303;"Macapá";72664
"196";"AP";1600402;"Mazagão";52892
"197";"AP";1600501;"Oiapoque";72313
"198";"AP";1600535;"Porto Grande";67904
"199";"AP";1600550;"Pracuúba";6954
"200";"AP";1600600;"Santana";73071
"201";"AP";1600709;"Tartarugalzinho";64132
"202";"AP";1600808;"Vitória do Jari";59174
"203";"BA";2900108;"Abaíra";5099
"204";"BA";2900207;"Abaré";55555
"205";"BA";2900306;"Acajutiba";43475
"206";"BA";2900355;"Adustina";70777
"207";"BA";2900405;"Água Fria";42955
"208";"BA";2900504;"Érico Cardoso";27706
"209";"BA";2900603;"Aiquara";58636
"210";"BA";2900702;"Alagoinhas";59874
"211";"BA";2900801;"Alcobaça";61752
"212";"BA";2900900;"Almadina";58757
"213";"BA";2901007;"Amargosa";57377
"214";"BA";2901106;"Amélia Rodrigues";5769
"215";"BA";2901155;"América Dourada";55859
"216";"BA";2901205;"Anagé";35118
"217";"BA";2901304;"Andaraí";47224
"218";"BA";2901353;"Andorinha";42304
"219";"BA";2901403;"Angical";6396
"220";"BA";2901502;"Anguera";49873
"221";"BA";2901601;"Antas";72904
"222";"BA";2901700;"Antônio Cardoso";49617
"223";"BA";2901809;"Antônio Gonçalves";52515
"224";"BA";2901908;"Aporá";51923
"225";"BA";2901957;"Apuarema";64675
"226";"BA";2902005;"Aracatu";43563
"227";"BA";2902054;"Araças";54943
"228";"BA";2902104;"Araci";45994
"229";"BA";2902203;"Aramari";48749
"230";"BA";2902252;"Arataca";68907
"231";"BA";2902302;"Aratuípe";61597
"232";"BA";2902401;"Aurelino Leal";62173
"233";"BA";2902500;"Baianópolis";32465
"234";"BA";2902609;"Baixa Grande";42498
"235";"BA";2902658;"Banzaê";64839
"236";"BA";2902708;"Barra";34338
"237";"BA";2902807;"Barra da Estiva";61691
"238";"BA";2902906;"Barra do Choça";76356
"239";"BA";2903003;"Barra do Mendes";58689
"240";"BA";2903102;"Barra do Rocha";69381
"241";"BA";2903201;"Barreiras";76434
"242";"BA";2903235;"Barro Alto";60253
"243";"BA";2903276;"Barrocas";NA
"244";"BA";2903300;"Governador Lomanto Júnior";62194
"245";"BA";2903409;"Belmonte";6777
"246";"BA";2903508;"Belo Campo";53329
"247";"BA";2903607;"Biritinga";53658
"248";"BA";2903706;"Boa Nova";36761
"249";"BA";2903805;"Boa Vista do Tupim";50723
"250";"BA";2903904;"Bom Jesus da Lapa";58238
"251";"BA";2903953;"Bom Jesus da Serra";3621
"252";"BA";2904001;"Boninal";4337
"253";"BA";2904050;"Bonito";6018
"254";"BA";2904100;"Boquira";36688
"255";"BA";2904209;"Botuporã";33887
"256";"BA";2904308;"Brejões";6782
"257";"BA";2904407;"Brejolândia";50488
"258";"BA";2904506;"Brotas de Macaúbas";26971
"259";"BA";2904605;"Brumado";58707
"260";"BA";2904704;"Buerarema";60571
"261";"BA";2904753;"Buritirama";22355
