codigo_mun7;ano;mes;medicos_total;medicos_sus;residencia_medica;horas_total;horas_hosp;horas_amb;horas_outras;medicos_mil_habitantes
1100031;2015;2;7;7;0;256;0;256;0;1,101494886
1100056;2011;5;15;15;0;354;10;263;81;0,885530433
1100056;2012;4;13;13;0;331;60;263;8;0,77142179
1100064;2007;6;9;9;0;270;0;270;0;0,510088415
1100064;2015;2;23;23;0;624;248;376;0;1,222298985
1100072;2011;1;4;4;0;160;0;120;40;0,462214005
1100072;2012;12;5;5;0;200;120;80;0;0,586166471
1100080;2006;2;1;1;0;20;0;20;0;0,085215168
1100098;2006;3;9;9;0;309;0;309;0;0,326572082
1100106;2014;9;41;40;0;1608;532;1036;40;0,887388265
1100114;2005;12;26;22;0;790;40;710;40;0,465616046
1100114;2013;11;41;32;0;1614;305;1289;20;0,737449862
1100130;2014;1;12;12;0;434;113;321;0;0,329561683
1100148;2015;6;12;11;0;406;100;306;0;0,555761393
1100155;2008;2;57;39;0;2138;0;952;1186;1,5346508
1100189;2005;11;27;27;0;878;0;878;0;0,858069027
1100189;2007;10;27;25;0;974;0;417;557;0,820843341
1100189;2013;6;32;28;0;930;207;723;0;0,866293078
1100205;2014;6;1093;997;70;55601;24495;29778;1328;2,212492384
1100254;2015;9;20;18;0;653;84;569;0;0,886642727
1100262;2006;6;1;1;0;40;0;40;0;0,277546489
1100262;2014;7;6;6;0;220;140;80;0;1,617686708
1100296;2011;10;6;6;0;260;60;200;0;0,691483232
1100296;2014;9;7;7;0;304;52;242;10;0,804043189
1100304;2006;1;58;53;0;2131;234;1897;0;0,881365204
1100338;2012;6;13;13;0;366;174;192;0;0,548083815
1100452;2014;1;22;19;0;792;268;499;25;0,591286586
1100601;2011;7;10;10;0;264;0;148;116;1,734906315
1100601;2011;8;10;10;0;264;0;148;116;1,734906315
1100700;2012;9;7;7;0;344;164;180;0;0,54487429
1100908;2007;3;3;3;0;100;0;100;0;0,82781457
1100908;2008;3;5;5;0;196;0;196;0;1,337971635
1100908;2012;9;3;3;0;156;0;156;0;0,862316758
1100908;2015;7;6;6;0;210;100;110;0;1,658833287
1100924;2011;8;10;10;0;368;0;368;0;1,174536058
1100924;2012;2;8;8;0;312;0;312;0;0,917325995
1100924;2014;6;7;7;0;290;0;290;0;0,708000405
1100940;2012;8;6;6;0;220;40;170;10;0,347584289
1101005;2007;12;6;6;0;200;0;200;0;0,524842547
1101005;2012;8;8;8;0;345;84;261;0;0,796812749
1101104;2013;6;4;4;0;160;40;120;0;0,414035814
1101450;2007;2;1;1;0;40;0;40;0;0,218197687
1101492;2010;7;7;7;0;310;0;190;120;0,436545058
1101492;2015;8;20;20;0;807;219;578;10;1,052520787
1101500;2009;9;5;5;0;155;0;55;100;0,412643394
1101500;2010;10;5;5;0;144;0;67;77;0,429959584
1101559;2009;2;3;3;0;148;0;148;0;0,598802395
1101609;2008;8;6;6;0;240;0;240;0;0,585137507
1101609;2009;1;6;6;0;240;0;240;0;0,581113801
1101708;2006;1;3;3;0;140;0;140;0;0,168909408
1101757;2010;11;3;3;0;164;0;90;74;0,319693095
1101757;2013;10;6;6;0;220;70;150;0;0,570450656
1101807;2010;7;5;5;0;233;0;185;48;0,609013398
1101807;2011;8;6;6;0;255;0;191;64;0,742298651
1200013;2007;6;6;6;0;240;0;240;0;0,520833333
1200013;2008;2;6;6;0;260;0;220;40;0,500542254
1200054;2015;6;6;6;0;251;51;180;20;0,89047195
1200104;2009;12;22;22;0;1060;10;650;400;1,087063939
1200138;2011;8;4;4;0;160;0;160;0;0,463553135
1200179;2014;8;5;5;0;220;0;220;0;0,491642085
1200203;2008;3;63;63;0;3341;30;1676;1635;0,824693685
1200203;2010;4;83;82;0;4096;30;2213;1853;1,057230565
1200203;2011;8;76;74;0;3903;58;1890;1955;0,959923206
1200252;2006;10;6;6;0;240;0;240;0;0,422743606
1200344;2005;12;2;2;0;60;0;60;0;0,261917234
1200344;2015;1;8;8;0;332;70;262;0;0,925818771
1200351;2015;7;5;5;0;183;5;178;0;0,295945546
1200385;2012;9;13;13;0;591;123;468;0;0,739182351
1200393;2014;2;3;3;0;110;15;95;0;0,286998948
1200435;2014;10;5;5;0;200;20;180;0;0,893974611
1200450;2009;4;23;23;0;739;0;637;102;1,167690511
1200500;2013;5;16;16;0;927;215;712;0;0,396913994
1200609;2007;5;13;13;0;472;0;366;106;0,404090641
1200609;2015;10;28;28;0;1049;280;769;0;0,721296272
1200708;2015;1;11;11;0;450;100;350;0;0,624716038
1200807;2008;4;5;5;0;200;0;200;0;0,349430428
1300201;2013;3;5;5;0;216;116;100;0;0,291137766
1300508;2010;3;5;5;0;220;0;155;65;0,182781941
1300607;2008;2;5;5;0;162;0;136;26;0,164063525
1300607;2011;9;8;8;0;350;75;275;0;0,233966016
1300631;2006;5;1;1;0;10;0;10;0;0,073421439
1300680;2009;5;6;6;0;360;20;340;0;0,428755181
1300839;2009;8;6;6;0;250;0;205;45;0,537153089
1300839;2010;8;7;7;0;260;0;205;55;0,637813212
1300839;2012;2;7;7;0;260;40;220;0;0,619304609
1300839;2013;3;6;6;0;270;50;220;0;0,499833389
1300904;2012;3;6;6;0;240;80;160;0;0,429000429
1301159;2010;6;8;8;0;384;0;384;0;0,334308399
1301506;2007;3;3;3;0;120;0;120;0;0,182503954
1301605;2012;1;6;6;0;280;20;260;0;0,258642986
1301605;2014;4;9;9;0;340;90;250;0;0,422634421
1301704;2010;11;21;21;0;756;20;601;135;0,474823072
1301852;2010;11;42;42;0;1620;0;1310;310;1,029891371
1301902;2010;3;60;59;0;1820;10;1430;380;0,690933797
1301902;2013;11;65;65;0;2365;620;1715;30;0,689450349
1301951;2008;3;1;1;0;50;0;15;35;0,120481928
1301951;2011;1;4;4;0;171;0;161;10;0,49937578
1302009;2009;6;4;4;0;180;0;155;25;0,410972979
1302108;2010;3;2;2;0;104;0;94;10;0,273000273
1302306;2013;8;3;3;0;160;20;140;0;0,172651934
1302306;2015;2;8;8;0;360;20;340;0;0,482363582
1302405;2010;4;10;10;0;430;0;390;40;0,265244954
1302405;2013;7;12;12;0;535;115;420;0;0,288461538
1302405;2013;8;11;11;0;515;95;420;0;0,264423077
1302405;2015;12;15;15;0;655;35;620;0;0,346716594
1302504;2006;8;14;14;0;430;0;40;390;0,165375165
1302603;2012;12;2714;2530;190;104817;41105;62707;1005;1,457699327
1302702;2015;2;15;15;0;602;47;555;0;0,282736132
1302801;2014;8;6;6;0;200;12;186;2;0,326672837
1303007;2009;2;4;4;0;208;0;164;44;0,216520515
1303304;2008;10;4;4;0;220;0;210;10;0,212811236
1303304;2009;12;7;7;0;260;0;170;90;0,369354158
1303502;2015;2;7;7;0;255;45;210;0;0,36123439
1303569;2009;8;23;23;0;788;0;648;140;0,856706522
1303700;2010;12;3;3;0;152;0;86;66;0,122544014
1303957;2006;1;2;2;0;120;40;80;0;0,221263414
1303957;2010;4;4;4;0;220;0;190;30;0,37365717
1303957;2015;7;9;9;0;380;50;330;0;0,704170253
1304005;2010;11;5;5;0;180;0;180;0;0,592136428
1304062;2006;12;13;13;0;540;0;540;0;0,288344239
1304104;2007;12;6;6;0;360;0;280;80;0,308435717
1304203;2008;2;27;27;0;1070;0;1065;5;0,417291316
1304237;2014;5;9;9;0;366;36;330;0;0,49121275
1304260;2005;9;1;1;0;20;0;20;0;0,075815011
1304260;2008;7;6;6;0;300;0;220;80;0,592300099
1304260;2011;8;5;5;0;240;0;170;70;0,416077224
1400100;2011;10;474;465;3;20338;8486;11520;332;1,630317018
1400100;2015;8;611;596;0;28559;9141;19156;262;1,905124192
1400159;2011;4;8;8;0;355;0;340;15;0,722869793
1400175;2010;9;5;5;0;190;0;190;0;0,359660481
1400209;2009;4;23;23;0;634;0;584;50;1,195736938
1400209;2011;9;14;14;0;490;88;402;0;0,748103024
1400308;2005;10;5;5;0;180;0;180;0;0,429221392
1400308;2006;3;6;6;0;210;0;210;0;0,511858045
1400308;2009;4;17;17;0;830;0;650;180;1,289050652
1400308;2009;9;21;21;0;840;0;650;190;1,592356688
1400407;2008;11;2;2;0;104;0;104;0;0,270160746
1400456;2008;4;5;5;0;220;0;220;0;0,554385187
1400456;2012;7;10;10;0;410;105;305;0;0,912991874
1400472;2015;5;31;30;0;950;290;620;40;1,13603049
1400472;2015;9;30;29;0;888;264;584;40;1,099384345
1400605;2008;5;6;6;0;410;0;290;120;1,013171226
1500107;2012;6;85;84;0;2964;1019;1903;42;0,588581519
1500107;2012;12;86;85;0;3004;989;1973;42;0,595506007
1500206;2009;10;17;17;0;480;0;406;74;0,350508237
1500206;2011;11;11;11;0;487;72;415;0;0,204918033
1500305;2006;9;2;2;0;60;0;60;0;0,054758515
1500305;2012;7;8;8;0;241;99;142;0;0,222971655
1500305;2013;1;8;8;0;241;99;142;0;0,21859118
1500347;2009;9;12;12;0;390;0;289;101;0,384418247
1500602;2012;5;77;71;0;2876;1073;1790;13;0,752371926
1500602;2014;6;116;111;0;4147;1572;2473;102;1,086467856
1500701;2008;2;2;2;0;80;0;60;20;0,0752927
1500800;2008;12;474;458;0;12979;258;9821;2900;0,956648099
1500859;2006;3;1;1;0;40;0;40;0;0,155642023
1500859;2015;9;9;9;0;390;45;345;0;0,354135516
1500909;2009;8;17;17;0;622;0;514;108;0,432382939
1501006;2010;7;2;2;0;70;0;70;0;0,126190927
1501006;2010;9;2;2;0;90;0;70;20;0,126190927
1501006;2011;2;2;2;0;90;0;70;20;0,125992188
1501105;2011;5;3;3;0;144;0;144;0;0,121733485
1501204;2007;1;5;5;0;145;20;75;50;0,190912562
1501204;2011;12;10;10;0;433;48;375;10;0,262522314
1501303;2006;10;74;74;0;1728;0;1536;192;0,972775433
1501402;2006;7;1984;1785;0;69410;7711;39737;21962;1,388997793
1501402;2007;2;2133;1901;0;72951;4374;41578;26999;1,514004005
1501402;2012;2;2970;2433;24;108341;42652;62957;2732;2,105740802
1501451;2009;10;4;4;0;197;0;159;38;0,315681477
1501600;2008;7;3;3;0;140;0;140;0;0,253871541
1501725;2014;9;18;18;0;501;115;384;2;1,188982099
1501808;2009;5;32;32;0;1252;0;818;434;0,316537084
1501956;2007;3;1;1;0;40;0;40;0;0,056660434
1502202;2008;11;78;75;0;2257;60;1680;517;1,222589696
1502509;2009;3;1;1;0;60;0;50;10;0,048766215
1502509;2011;10;2;2;0;60;0;60;0;0,09395847
1502509;2015;12;7;7;0;252;33;219;0;0,310201188
1502608;2014;1;11;11;0;377;0;377;0;0,944936002
1502608;2014;4;11;11;0;297;0;297;0;0,944936002
1502707;2008;12;34;34;0;1469;20;1139;310;0,724699463
1502756;2008;8;7;7;0;250;0;250;0;0,316055626
1502764;2015;12;7;7;0;271;16;250;5;0,563470981
1502772;2009;9;16;16;0;645;0;412;233;0,891662951
1502806;2015;2;10;10;0;269;43;226;0;0,31009675
